% r, Å	I	E, Ha
3.50000000,-1054.09773857
3.51000000,-1054.09775565
3.52000000,-1054.09777169
3.53000000,-1054.09778678
3.54000000,-1054.09780095
3.55000000,-1054.09781424
3.56000000,-1054.09782669
3.57000000,-1054.09783834
3.58000000,-1054.09784921
3.59000000,-1054.09785934
3.60000000,-1054.09786877
3.61000000,-1054.09787753
3.62000000,-1054.09788564
3.63000000,-1054.09789313
3.64000000,-1054.09790003
3.65000000,-1054.09790636
3.66000000,-1054.09791216
3.67000000,-1054.09791745
3.68000000,-1054.09792225
3.69000000,-1054.09792658
3.70000000,-1054.09793046
3.71000000,-1054.09793392
3.72000000,-1054.09793698
3.73000000,-1054.09793965
3.74000000,-1054.09794196
3.75000000,-1054.09794392
3.76000000,-1054.09794555
3.77000000,-1054.09794686
3.78000000,-1054.09794788
3.79000000,-1054.09794861
3.80000000,-1054.09794908
3.81000000,-1054.09794929
3.82000000,-1054.09794926
3.83000000,-1054.09794900
3.84000000,-1054.09794853
3.85000000,-1054.09794786
3.86000000,-1054.09794699
3.87000000,-1054.09794594
3.88000000,-1054.09794473
3.89000000,-1054.09794335
3.90000000,-1054.09794181
3.91000000,-1054.09794014
3.92000000,-1054.09793834
3.93000000,-1054.09793641
3.94000000,-1054.09793436
3.95000000,-1054.09793221
3.96000000,-1054.09792995
3.97000000,-1054.09792760
3.98000000,-1054.09792516
3.99000000,-1054.09792264
4.00000000,-1054.09792004
